Who initially entered the data,Curator choses that,,,,,,,,,,,HH:MM:SS,int,.,,"float, in GB",Baker Cluster / CSD3 / cloud computing / local laptop or desktop,,"Needs to match the list ""TDP_cpu"" or ""TDP_gpu""","otherwise, average value",,in h ,in W,in kW,in kWh,,in kgCO2e,,,,,Total impact in kgCO2e,,,,,,,,,,,,,,,
Guillaume,bacterialGenomeAssembly_unicycler_1,Bacterial genome assembly,Unicycler,,,,,,,Assembly of raw sequencing reads from an isolate of Klebsiella pneumoniae from pyogenic liver abscess infections in Singapore (SRA accession: SRR6307304) using the SPAdes-based assembler Unicycler4.,,0:29:57,1,CPU,Requested,16,Baker cluster,1.58,Xeon E5-2683 v4,,,0.50,7.5,0.013,0.011,,0.005,0.000,0.006,0.021,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Exact usage,,,,,,,,,,0:29:57,1,CPU,Used,4.73,Baker cluster,1.58,Xeon E5-2683 v4,,,0.50,7.5,0.009,0.008,,0.004,0.000,0.004,0.015,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guillaume,bacterialPangenome_roary_1,Bacterial pangenome discovery pipeline,Roary,,,,,,,Bacterial pangenome discovery pipeline on 176 complete Mycobacterium tuberculosis genomes publicly available on NCBI using Roary (https://sanger-pathogens.github.io/Roary/).,,2:29:06,16,CPU,Requested,64,MASSIVE,1.58,Xeon E5-2680 v3,,,2.49,10.0,0.184,0.763,,0.362,0.032,0.381,1.444,2.071,0.7,0.6,0.9,0.5,0.4,0.4,0.3,0.4,0.3,0.2,0.2,0.3,0.1,0.0,0.1,0.0
,,Exact usage,,,,,,,,,,2:29:06,16,CPU,Used,8.03,MASSIVE,1.58,Xeon E5-2680 v3,,,2.49,10.0,0.163,0.676,,0.321,0.028,0.338,1.280,1.836,0.6,0.5,0.8,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.1,0.0,0.1,0.0
Woei Yuh,RNAseq_fastQC_1,CAS-RNAseq: QC check on rawData,FastQC,,,,,,,"First round of QC check on the raw reads of 538 samples + 51 repeated samples. However, QC of 197 samples has already completed in Dec 2019. So, current estimate is based on 392 samples. ",,370:10:13,18,CPU,,8,Baker cluster,1.58,Xeon E5-2683 v4,,,370.17,7.5,0.138,85.297,,40.516,3.554,42.649,161.419,231.521,81.9,63.4,99.8,53.2,41.9,40.6,33.5,40.0,28.2,27.9,23.7,33.5,11.9,4.0,9.0,1.2
Woei Yuh,,CAS-RNAseq: adapter removal,TrimGalore,,,,,,,"Remove adapters from raw reads. Adapter removal of 197 samples has already completed in Dec 2019. So, current estimate is based on 392 samples. ",,79:44:24,18,CPU,,8,,,Xeon E5-2683 v4,,,79.74,7.5,0.138,18.374,,8.728,0.766,9.187,34.772,49.873,17.7,13.7,21.5,11.5,9.0,8.7,7.2,8.6,6.1,6.0,5.1,7.2,2.6,0.9,1.9,0.3
Woei Yuh,,CAS-RNAseq: optical duplicates removal,bbmap/clumpify,,,,,,,"Remove optical duplicate reads from raw reads. Removal of optical duplicate reads of 197 samples has already completed in Dec 2019. So, current estimate is based on 392 samples. ",,11:18:37,16,CPU,,8,,,Xeon E5-2683 v4,,,11.31,7.5,0.123,2.323,,1.103,0.097,1.161,4.396,6.305,2.2,1.7,2.7,1.4,1.1,1.1,0.9,1.1,0.8,0.8,0.6,0.9,0.3,0.1,0.2,0.0
Woei Yuh,,QC step,,,,,,,,,,461:13:14,.,.,,.,,,.,,,,,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Woei Yuh,,CAS-RNAseq: Alignment,STARv2.7.0e,,,,,,,Alignment of 392 samples to a human genome (Ensemble Hg38),,23:58:45,32,CPU,,8,,,Xeon E5-2683 v4,,,23.98,7.5,0.243,9.730,,4.622,0.405,4.865,18.414,26.411,9.3,7.2,11.4,6.1,4.8,4.6,3.8,4.6,3.2,3.2,2.7,3.8,1.4,0.5,1.0,0.1
Woei Yuh,,RNAseq: all together,,,,,,,,,,485:11:59,.,.,,.,,,.,,,,,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Guillaume,metagenomeAssembly_metaSPAdes_1,Metagenome assembly,metaSPAdes,,,,,,,"Metagenome assembly of 1 human metagenome (21,412,208 raw reads) using metaSPAdes",,4:14:32,32,CPU,,512,Baker cluster,1.58,Xeon E5-2683 v4,,,4.24,7.5,0.431,3.051,,1.449,0.127,1.526,5.775,8.282,2.9,2.3,3.6,1.9,1.5,1.5,1.2,1.4,1.0,1.0,0.8,1.2,0.4,0.1,0.3,0.0
Guillaume,metagenomicMapping_bowtie2_1,Metagenomic read mapping,bowtie2,,,,,,,Mapping reads from 30 metagenomic samples to a human reference (hg19),,2:26:30,32,CPU,,32,Baker cluster,1.58,Xeon E5-2683 v4,,,2.44,7.5,0.252,1.027,,0.488,0.043,0.514,1.944,2.788,1.0,0.8,1.2,0.6,0.5,0.5,0.4,0.5,0.3,0.3,0.3,0.4,0.1,0.0,0.1,0.0
Guillaume,metagenomicTrimming_atropos_1,Metagenomic read trimming,atropos,,,,,,,Trimming metagenomic reads for 1 large sample from the HMP (SRA accession: SRS016585) as a test,,6:04:12,1,CPU,,32,Baker cluster,1.58,Xeon E5-2683 v4,,,6.07,7.5,0.019,0.197,,0.094,0.008,0.098,0.373,0.534,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Fachrul,metagenomicTrimming_trimgalore_1,Metagenomic read trimming,TrimGalore,,,,,,,"Remove adapter and trim paired-end metagenomic reaads from 29 samples (-q 20, --length 20).",,5:31:39,10,CPU,,100,Baker cluster,1.58,Xeon E5-2683 v4,,,5.53,7.5,0.112,1.036,,0.492,0.043,0.518,1.961,2.812,1.0,0.8,1.2,0.6,0.5,0.5,0.4,0.5,0.3,0.3,0.3,0.4,0.1,0.0,0.1,0.0
Yang,diseasePred_1,disease prediction,machine learning,,,,,,,clean/process/analyze/train data,,4:00:00,5,CPU,,25,Baker cluster,1.58,Xeon E5-2683 v4,,,4.00,7.5,0.047,0.313,,0.149,0.013,0.156,0.592,0.849,0.3,0.2,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Yang,diseasePred_2,disease prediction,machine learning,,,,,,,clean/process/analyze/train data,,48:00:00,10,CPU,,100,Baker cluster,1.58,Xeon E5-2683 v4,,,48.00,7.5,0.112,8.998,,4.274,0.375,4.499,17.028,24.423,8.6,6.7,10.5,5.6,4.4,4.3,3.5,4.2,3.0,2.9,2.5,3.5,1.3,0.4,0.9,0.1
Scott,PRS_plink2_1,PRS level calculation,Plink2,,,,,,,"Take a file of variants + weights and score UK Biobank participants. 
Run as an array job, 1 task per chromosome -> on CSD3",,1:00:00,22,CPU,,528,CSD3,1.15,Xeon Gold 6142,,,1.00,9.4,0.403,0.673,,0.320,0.028,0.336,1.273,1.826,0.6,0.5,0.8,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.1,0.0,0.1,0.0
Scott,PRS_plink2_2,PRS level calculation,Plink2,,,,,,,Take a file of variants + weights and score UK Biobank participants. -> on Baker,,24:00:00,22,CPU,,128,CSD3,1.15,Xeon Gold 6142,,,24.00,9.4,0.254,10.178,,4.834,0.424,5.089,19.260,27.625,9.8,7.6,11.9,6.3,5.0,4.8,4.0,4.8,3.4,3.3,2.8,4.0,1.4,0.5,1.1,0.1
Loïc,google_meena_1,Chatbot,Google's Meena,,,,,,,,,720:00:00,2048,GPU,,341,Google,1.1,TPU3,,,720.00,200,409.727,492655.772,,"234,011.492","20,527.324","246,327.886","932,316.700","1,337,208.524","473,245.1","365,994.0","576,407.3","307,220.1","242,189.6","234,454.9","193,613.7","231,055.6","162,674.9","161,098.4","136,613.4","193,613.7","68,971.8","23,154.8","51,778.1","6,897.2"
Loïc,google_meena_1,Chatbot,Google's Meena,,,,,,,"Chatbot trained from end to end, 30 days on a TPU v3 Pod. We are ignoring memory consumption because TPU draw is quite unclear  from https://arxiv.org/pdf/2001.09977.pdf",,720:00:00,1,GPU,,0,,,TPU v3 pod,,,720.00,288000,288.000,346291.200,,"164,488.320","14,428.800","173,145.600","655,331.952","939,933.257","332,647.3","257,259.7","405,160.7","215,947.2","170,236.8","164,800.0","136,092.4","162,410.6","114,345.4","113,237.2","96,026.5","136,092.4","48,480.8","16,275.7","36,395.2","4,848.1"
Loïc,boltLMM_v23_150k,Mixed models association,BOLT-LMM v2.3,,Benchmark,,,,,"""We analyzed the years-of-education phenotype as a representative trait, and we ran all methods on the same set of all European-ancestry individuals in the UK Biobank, N=150K, analysing ~72M imputed SNPs and imposing a MAF>0.1% filter on minor allele frequency."" from  https://www.nature.com/articles/s41588-018-0144-6",,14:52:46,8,CPU,,0,local server,1.58,Xeon E5-2683 v4,,,14.88,7.5,0.060,1.491,,0.708,0.062,0.745,2.821,4.047,1.4,1.1,1.7,0.9,0.7,0.7,0.6,0.7,0.5,0.5,0.4,0.6,0.2,0.1,0.2,0.0
Loïc,boltLMM_v23_500k,GWAS,BOLT-LMM v2.3,,Benchmark,,,,,"""We analyzed the years-of-education phenotype as a representative trait, and we ran all methods on the same set of all European-ancestry individuals in the UK Biobank, N=500K, analysing ~93M imputed SNPs and imposing a MAF>0.1% filter on minor allele frequency."" from  https://www.nature.com/articles/s41588-018-0144-6",,60:57:36,8,CPU,,0,local server,1.58,Xeon E5-2683 v4,,,60.96,7.5,0.060,6.108,,2.901,0.255,3.054,11.559,16.579,5.9,4.5,7.1,3.8,3.0,2.9,2.4,2.9,2.0,2.0,1.7,2.4,0.9,0.3,0.6,0.1
Loïc,,GWAS,"same, 100 traits",,,,,,,,,.,.,.,,.,,,.,,,,,6.000,610.819,,290.139,25.451,305.410,"1,155.933","1,657.938",586.8,453.8,714.7,380.9,300.3,290.7,240.1,286.5,201.7,199.7,169.4,240.1,85.5,28.7,64.2,8.6
Loïc,boltLMM_v1_150k,GWAS,BOLT-LMM v1,,Benchmark,,,,,"""We analyzed the years-of-education phenotype as a representative trait, and we ran all methods on the same set of all European-ancestry individuals in the UK Biobank, N=150K, analysing ~72M imputed SNPs and imposing a MAF>0.1% filter on minor allele frequency."" from  https://www.nature.com/articles/s41588-018-0144-6",,58:19:12,8,CPU,,0,local server,1.58,Xeon E5-2683 v4,,,58.32,7.5,0.060,5.844,,2.776,0.243,2.922,11.059,15.861,5.6,4.3,6.8,3.6,2.9,2.8,2.3,2.7,1.9,1.9,1.6,2.3,0.8,0.3,0.6,0.1
Loïc,boltLMM_v1_500k,GWAS,BOLT-LMM v1,,Benchmark,,,,,"""We analyzed the years-of-education phenotype as a representative trait, and we ran all methods on the same set of all European-ancestry individuals in the UK Biobank, N=500K, analysing ~93M imputed SNPs and imposing a MAF>0.1% filter on minor allele frequency."" from  https://www.nature.com/articles/s41588-018-0144-6",,224:09:36,8,CPU,,0,local server,1.58,Xeon E5-2683 v4,,,224.16,7.5,0.060,22.461,,10.669,0.936,11.230,42.506,60.965,21.6,16.7,26.3,14.0,11.0,10.7,8.8,10.5,7.4,7.3,6.2,8.8,3.1,1.1,2.4,0.3
Loïc,,GWAS,"same, 100 traits",,,,,,,,,,,.,,.,,,.,,,,,6.000,2246.083,,"1,066.890",93.587,"1,123.042","4,250.556","6,096.512","2,157.6","1,668.6","2,627.9","1,400.7","1,104.2","1,068.9",882.7,"1,053.4",741.7,734.5,622.8,882.7,314.5,105.6,236.1,31.4
Loïc,,Genome classification,Centrifuge,,Benchmark,,,,,"""In an international effort to research the disease and stop its spread, several groups sequenced the Ebola virus collected from patients’ blood samples and released their data sets online
(Baize et al. 2014; Gire et al. 2014; Park et al. 2015). The genomic data were used to trace the disease and mutations in the Ebola genome and inform further public health and research efforts. Lauck et al. (2015) reanalyzed one of the data sets (Gire et al. 2014) in order to assess the prevalence and effect of GB virus C co-infection on the outcome of EVD. We analyzed 130 paired-end sequencing runs from 49 patients reported in Gire et al. (2014) using Centrifuge to look for further co-infections. This data set has a total of 97,097,119 reads (26 GB of FASTA files).For this analysis, we used the database p + h + v containing all prokaryotic genomes (compressed), all viral genomes, and the human genome (total index size: 6.9 GB). Running on a desktop computer (quad-core, Intel Core i5-4460 @ 3.2 GHz with 8 GB RAM), Centrifuge completed the analysis of all samples in 47 min with four cores."" from https://genome.cshlp.org/content/26/12/1721",,0:47:00,4,CPU,,8,desktop computer,1,Core i5-4460,,,0.78,21.0,0.087,0.114,,0.054,0.005,0.057,0.215,0.309,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason,tophat2_human,Alignment,Tophat2,,Benchmark,,,,,"The genomes used were Homo sapiens hg19. Human data were limited to chromosomes 1–22, X and Y. For human data, 30,000 transcript models were chosen at random from a conglomeration of 858,063 gene models obtained by taking the union of ten annotation tracks: RefSeq, GeneID, Aceview, Augustus, ENSEMBL, UCSC, Vega, GenCode, GenScan, and lincRNA.- Simulated data from humans containing 10 million 100 basre read pairs (2x10^9 bases) The most complex forms of the simulate dataset were used here (T3) which had high polymorphism and error rates (0.03 substitution, 0.005 indel, and 0.02 error) - online methods. A job was designed for each alignment run and 16 threads were reserved for each job. (https://www.med.upenn.edu/hpc/) -Intel E5-2665 2.4Ghz Xeon Processors (115 W) - note memory is exact not requested - from doi:10.1038/Nmeth.4106",,3:37:53,16,CPU,Used,24,UPENN HPC,1.58,Xeon E5-2665,,,3.63,14.4,0.239,1.449,,0.688,0.060,0.725,2.742,3.933,1.4,1.1,1.7,0.9,0.7,0.7,0.6,0.7,0.5,0.5,0.4,0.6,0.2,0.1,0.2,0.0
Jason,star_human,Reads alignments,star,,Benchmark,,,,,"The genomes used were Homo sapiens hg19. Human data were limited to chromosomes 1–22, X and Y. For human data, 30,000 transcript models were chosen at random from a conglomeration of 858,063 gene models obtained by taking the union of ten annotation tracks: RefSeq, GeneID, Aceview, Augustus, ENSEMBL, UCSC, Vega, GenCode, GenScan, and lincRNA.- Simulated data from humans containing 10 million 100 basre read pairs (2x10^9 bases) The most complex forms of the simulate dataset were used here (T3) which had high polymorphism and error rates (0.03 substitution, 0.005 indel, and 0.02 error) - online methods. A job was designed for each alignment run and 16 threads were reserved for each job. (https://www.med.upenn.edu/hpc/) -Intel E5-2665 2.4Ghz Xeon Processors (115 W) - note memory is exact not requested, from Simulation-based comprehensive benchmarking of RNA-seq aligners. Note i scaled time by 30 to get the number of reads for human base pairs. ",,5:21:30,16,CPU,Used,36,UPENN HPC,1.58,Xeon E5-2665,,,5.3583,14.375,0.243,2.178,,1.035,0.091,1.089,4.122,5.912,2.1,1.6,2.5,1.4,1.1,1.0,0.9,1.0,0.7,0.7,0.6,0.9,0.3,0.1,0.2,0.0
Loïc,,Reads alignments,star,,Benchmark,,,,,"Reads alignment on simulated data for human hg19 genome (1 set of 10 million 100-base read pairs - 2x10^9 bases) from (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5792058/). Used ""Total run time""",,0:10:37,16,CPU,,35,,,Xeon E5-2665,,,0.1769,14.375,0.243,0.072,,0.034,0.003,0.036,0.136,0.195,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loïc,,Reads alignments,star,,Benchmark,,,,,"same, with real CPU usage time",,0:06:40,16,CPU,,35,,,Xeon E5-2665,,,0.1111,14.375,0.243,0.045,,0.021,0.002,0.023,0.085,0.122,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loïc,,Reads alignments,star,,Benchmark,,,,,x 30,,5:18:30,16,CPU,,35,,,Xeon E5-2665,,,5.3083,14.375,0.243,2.155,,1.023,0.090,1.077,4.077,5.848,2.1,1.6,2.5,1.3,1.1,1.0,0.8,1.0,0.7,0.7,0.6,0.8,0.3,0.1,0.2,0.0
Jason,tophat2_malaria,Alignment,Tophat2,,Benchmark,,,,,"The P. falciparum genome was used because it is notorious for being difficult, mainly because it is approximately 80% AT rich in exons and 90% in introns and intergenic regions - Simulated data from malaria containing 10 million 100 basre read pairs (2x10^9 bases) The most complex forms of the simulate dataset were used here (T3) which had high polymorphism and error rates (0.03 substitution, 0.005 indel, and 0.02 error) - online methods. A job was designed for each alignment run and 16 threads were
reserved for each job. (https://www.med.upenn.edu/hpc/) -Intel E5-2665 2.4Ghz Xeon Processors (115 W)",,3:37:53,16,CPU,Used,12,UPENN HPC,1.58,Xeon E5-2665,,,3.63,14.4,0.234,1.422,,0.675,0.059,0.711,2.691,3.860,1.4,1.1,1.7,0.9,0.7,0.7,0.6,0.7,0.5,0.5,0.4,0.6,0.2,0.1,0.1,0.0
Jason,star_malaria,Reads alignments,star,,Benchmark,,,,,"The P. falciparum genome was used because it is notorious for being difficult, mainly because it is approximately 80% AT rich in exons and 90% in introns and intergenic regions - Simulated data from malaria containing 10 million 100 basre read pairs (2x10^9 bases) The most complex forms of the simulate dataset were used here (T3) which had high polymorphism and error rates (0.03 substitution, 0.005 indel, and 0.02 error) - online methods. A job was designed for each alignment run and 16 threads were
reserved for each job. (https://www.med.upenn.edu/hpc/) -Intel E5-2665 2.4Ghz Xeon Processors (115 W). from Simulation-based comprehensive benchmarking of RNA-seq aligners. ",,2:22:38,16,CPU,Used,8,UPENN HPC,1.58,Xeon E5-2665,,,2.38,14.4,0.233,0.925,,0.439,0.039,0.462,1.750,2.511,0.9,0.7,1.1,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.1,0.0,0.1,0.0
Loïc,,Reads alignments,star,,Benchmark,,,,,"Reads alignment on simulated data for P. flaciparum genome (1 set of 10 million 100-base read pairs - 2x10^9 bases) from (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5792058/). Used ""Total run time""",,2:27:19,16,CPU,,8,,,Xeon E5-2665,,,2.46,14.4,0.233,0.955,,0.454,0.040,0.478,1.808,2.593,0.9,0.7,1.1,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.1,0.0,0.1,0.0
Loïc,,eQTL analysis,matrixeQTL,,Benchmark,,,,,"""We chose cystic fibrosis (CF) dataset from Wright et al.
(2011). The dataset contains genotype information for 573 337 SNPs
and the gene expression measurements for 22 011 transcripts for 840
patients.""",,0:14:36,4,CPU,,16,local server,1.58,Xeon X3430,,,0.24,23.8,0.101,0.041,,0.019,0.002,0.021,0.078,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason/Loïc,,de novo virome assembly,Velvet,,Benchmark,,,,,"""Assemblers were compared for practicality by measuring the time to reach completion and maximum RAM usage via four published healthy human gut viromes (Manrique P, Bolduc B, Walk ST, van der Oost J, de Vos WM, Young MJ. Healthy human gut phageome. Proc Natl Acad Sci. 2016;113(37):10400–5.). Reads from the “healthy human gut phageome” were analysed to compare the overall assembler efficiency and the impact of sequencing depth. Reads were randomly subset in pairs (both the forward and reverse read of a pair were retained) to different depths using an in-house python script. Samples were subset in increments of 300,000 reads to their respective maximum depth (2.7, 3.5, 3 and 3.3 million reads) .It must be noted that all assembly tasks were allocated five threads. Each assembler with the exception of Geneious and CLC was run as per manual with default parameters (unless stated) using a Lenovo x3650 M5 server with an intel Xeon processor E5-2690 v3 and 512Gb RAM running Ubuntu 14.04.5. "" (from https://doi.org/10.1186/s40168-019-0626-5) --> Taking running time and RAM for 3.5m reads",,0:40:00,5,CPU,Used,0.01,,,Xeon E5-2690 v3,,,0.67,11.3,0.056,0.063,,0.030,0.003,0.031,0.119,0.170,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason/Loïc,,de novo virome assembly,Spades,,Benchmark,,,,,same,,1:06:40,5,CPU,Used,0.008,,,Xeon E5-2690 v3,,,1.11,11.3,0.056,0.104,,0.050,0.004,0.052,0.198,0.283,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason/Loïc,,de novo virome assembly,MEGAHIT,,Benchmark,,,,,Same,,0:43:20,5,CPU,Used,0.008,,,Xeon E5-2690 v3,,,0.72,11.3,0.056,0.068,,0.032,0.003,0.034,0.128,0.184,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason/Loïc,,metagenome assembly,meta-SPADES,,Benchmark,,,,,we here tested assemblers on real Illumina metagenome sequencing data from natural communities of varying complexity sampled from forest soil and algal biofilms. from (https://doi.org/10.1371/journal.pone.0169662) -< Measurements here are for the Marburg forest soil,,29:24:00,4,CPU,Used,60,,,Xeon E5-4650L,,,29.40,14.4,0.080,3.920,,1.862,0.163,1.960,7.419,10.641,3.8,2.9,4.6,2.4,1.9,1.9,1.5,1.8,1.3,1.3,1.1,1.5,0.5,0.2,0.4,0.1
,,Metagenoma assembly for 100 samples,meta-SPADES,,,,,,,,,.,.,.,,.,,,.,,,,,7.985,392.048,,186.223,16.335,196.024,741.923,"1,064.129",376.6,291.3,458.7,244.5,192.7,186.6,154.1,183.9,129.5,128.2,108.7,154.1,54.9,18.4,41.2,5.5
