index,,in Watt,,,,in nm (not used for now),in cm2,in cm2,in gCO2e,in kgSb e,,
model,Manufacturer,TDP,n_cores,TDP_per_core,Release_year,feature_size,die_area,die_area_per_core,embodied_gwp_per_core,embodied_adp_per_core,source,comment
Xeon Gold 5420+,Intel,205,28,7.3,2023,10,19.08,0.6814285714,326.4285714,7.29E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-5420.c3151,
Xeon Gold 5423N,Intel,145,20,7.3,2023,10,19.08,0.954,457,1.02E-03,https://www.techpowerup.com/cpu-specs/xeon-gold-5423n.c3158,
Xeon Gold 5433N,Intel,160,20,8.0,2023,10,19.08,0.954,457,1.02E-03,https://www.techpowerup.com/cpu-specs/xeon-gold-5433n.c3159,
Xeon Gold 6414U,Intel,250,32,7.8,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6414u.c3140,
Xeon Gold 6416H,Intel,165,18,9.2,2023,10,19.08,1.06,507.7777778,1.13E-03,https://www.techpowerup.com/cpu-specs/xeon-gold-6416h.c3160,
Xeon Gold 6418H,Intel,185,24,7.7,2023,10,19.08,0.795,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6418h.c3156,
Xeon Gold 6421N,Intel,185,32,5.8,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6421n.c3141,
Xeon Gold 6426Y,Intel,185,16,11.6,2023,10,19.08,1.1925,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/xeon-gold-6426y.c3162,
Xeon Gold 6428N,Intel,185,32,5.8,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6428n.c3142,
Xeon Gold 6430,Intel,270,32,8.4,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6430.c3143,
Xeon Gold 6434,Intel,195,8,24.4,2023,10,19.08,2.385,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/xeon-gold-6434.c3165,
Xeon Gold 6434H,Intel,195,8,24.4,2023,10,19.08,2.385,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/xeon-gold-6434h.c3166,
Xeon Gold 6438M,Intel,205,32,6.4,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6438m.c3144,
Xeon Gold 6438N,Intel,205,32,6.4,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6438n.c3145,
Xeon Gold 6438Y+,Intel,205,32,6.4,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6438y.c3146,
Xeon Gold 6442Y,Intel,225,24,9.4,2023,10,19.08,0.795,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6442y.c3157,
Xeon Gold 6444Y,Intel,270,16,16.9,2023,10,19.08,1.1925,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/xeon-gold-6444y.c3163,
Xeon Gold 6448H,Intel,250,32,7.8,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6448h.c3147,
Xeon Gold 6448Y,Intel,225,32,7.0,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6448y.c3148,
Xeon Gold 6454S,Intel,270,32,8.4,2023,10,19.08,0.59625,285.625,1088.095238,https://www.techpowerup.com/cpu-specs/xeon-gold-6454s.c3149,
Xeon Gold 6458Q,Intel,350,32,10.9,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-6458q.c3150,
Xeon Max 9460,Intel,350,40,8.8,2023,10,19.08,0.477,228.5,5.10E-04,https://www.techpowerup.com/cpu-specs/xeon-max-9460.c3087,
Xeon Max 9462,Intel,350,32,10.9,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-max-9462.c3088,
Xeon Max 9468,Intel,350,48,7.3,2023,10,19.08,0.3975,190.4166667,4.25E-04,https://www.techpowerup.com/cpu-specs/xeon-max-9468.c3086,
Xeon Max 9470,Intel,350,52,6.7,2023,10,19.08,0.3669230769,175.7692308,3.92E-04,https://www.techpowerup.com/cpu-specs/xeon-max-9470.c3085,
Xeon Max 9480,Intel,350,56,6.3,2023,10,19.08,0.3407142857,163.2142857,3.64E-04,https://www.techpowerup.com/cpu-specs/xeon-max-9480.c3084,
Xeon Platinum 8174,Intel,240,24,10.0,2017,14,6.94,0.2891666667,380.8333333,8.50E-04,https://ark.intel.com/content/www/us/en/ark/products/136874/intel-xeon-platinum-8174-processor-33m-cache-3-10-ghz.html https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server) XCC configuration,
Xeon Platinum 8444H,Intel,270,16,16.9,2023,10,19.08,1.1925,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/xeon-platinum-8444h.c3139,
Xeon Platinum 8450H,Intel,250,28,8.9,2023,10,19.08,0.6814285714,326.4285714,7.29E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8450h.c3138,
Xeon Platinum 8452Y,Intel,300,36,8.3,2023,10,19.08,0.53,253.8888889,5.67E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8452y.c3135,
Xeon Platinum 8454H,Intel,270,32,8.4,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8454h.c3136,
Xeon Platinum 8458P,Intel,350,44,8.0,2023,10,19.08,0.4336363636,207.7272727,4.64E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8458p.c3133,
Xeon Platinum 8460H,Intel,330,40,8.3,2023,10,19.08,0.477,228.5,5.10E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8460h.c3134,
Xeon Platinum 8460Y+,Intel,300,40,7.5,2023,10,19.08,0.477,228.5,5.10E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8460y.c3095,
Xeon Platinum 8461V,Intel,300,48,6.3,2023,10,19.08,0.3975,190.4166667,4.25E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8461v.c3093,
Xeon Platinum 8462Y+,Intel,300,32,9.4,2023,10,19.08,0.59625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8462y.c3137,
Xeon Platinum 8468,Intel,350,48,7.3,2023,10,19.08,0.3975,190.4166667,4.25E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8468.c3094,
Xeon Platinum 8468H,Intel,330,48,6.9,2023,10,19.08,0.3975,190.4166667,4.25E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8468h.c3131,
Xeon Platinum 8468V,Intel,330,48,6.9,2023,10,19.08,0.3975,190.4166667,4.25E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8468v.c3132,
Xeon Platinum 8470,Intel,350,52,6.7,2023,10,19.08,0.3669230769,175.7692308,3.92E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8470.c3089,
Xeon Platinum 8470N,Intel,300,52,5.8,2023,10,19.08,0.3669230769,175.7692308,3.92E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8470n.c3090,
Xeon Platinum 8470Q,Intel,350,52,6.7,2023,10,19.08,0.3669230769,175.7692308,3.92E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8470q.c3091,
Xeon Platinum 8471N,Intel,300,52,5.8,2023,10,19.08,0.3669230769,175.7692308,3.92E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8471n.c3092,
Xeon Platinum 8480+,Intel,350,56,6.3,2023,10,19.08,0.3407142857,163.2142857,3.64E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8480.c2958,
Xeon Platinum 8490H,Intel,350,60,5.8,2023,10,19.08,0.318,152.3333333,3.40E-04,https://www.techpowerup.com/cpu-specs/xeon-platinum-8490h.c2942,
Xeon Silver 4410T,Intel,150,10,15.0,2023,10,19.08,1.908,914,2.04E-03,https://www.techpowerup.com/cpu-specs/xeon-silver-4410t.c3169,
Xeon Silver 4410Y,Intel,150,12,12.5,2023,10,19.08,1.59,761.6666667,1.70E-03,https://www.techpowerup.com/cpu-specs/xeon-silver-4410y.c3168,
Xeon Silver 4416+,Intel,165,20,8.3,2023,10,19.08,0.954,457,1.02E-03,https://www.techpowerup.com/cpu-specs/xeon-silver-4416.c3167,
Xeon w3-2423,Intel,120,6,20.0,2023,10,19.08,3.18,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/xeon-w3-2423.c3120,
Xeon w3-2425,Intel,130,6,21.7,2023,10,19.08,3.18,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/xeon-w3-2425.c3119,
Xeon w3-2435,Intel,165,8,20.6,2023,10,19.08,2.385,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/xeon-w3-2435.c3118,
Xeon w5-2445,Intel,175,10,17.5,2023,10,19.08,1.908,914,2.04E-03,https://www.techpowerup.com/cpu-specs/xeon-w5-2445.c3117,
Xeon w5-2455X,Intel,200,12,16.7,2023,10,19.08,1.59,761.6666667,1.70E-03,https://www.techpowerup.com/cpu-specs/xeon-w5-2455x.c3116,
Xeon w5-2465X,Intel,200,16,12.5,2023,10,19.08,1.1925,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/xeon-w5-2465x.c3115,
Xeon w5-3425,Intel,270,12,22.5,2023,10,19.08,1.59,761.6666667,1.70E-03,https://www.techpowerup.com/cpu-specs/xeon-w5-3425.c3112,
Xeon w5-3435X,Intel,270,16,16.9,2023,10,19.08,1.1925,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/xeon-w5-3435x.c3111,
Xeon w7-2475X,Intel,225,20,11.3,2023,10,19.08,0.954,457,1.02E-03,https://www.techpowerup.com/cpu-specs/xeon-w7-2475x.c3114,
Xeon w7-2495X,Intel,225,24,9.4,2023,10,19.08,0.795,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/xeon-w7-2495x.c3113,
Xeon w7-3445,Intel,270,20,13.5,2023,10,19.08,0.954,457,1.02E-03,https://www.techpowerup.com/cpu-specs/xeon-w7-3445.c3110,
Xeon w7-3455,Intel,270,24,11.3,2023,10,19.08,0.795,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/xeon-w7-3455.c3109,
Xeon w7-3465X,Intel,300,28,10.7,2023,10,19.08,0.6814285714,326.4285714,7.29E-04,https://www.techpowerup.com/cpu-specs/xeon-w7-3465x.c3108,
Xeon w9-3475X,Intel,300,36,8.3,2023,10,19.08,0.53,253.8888889,5.67E-04,https://www.techpowerup.com/cpu-specs/xeon-w9-3475x.c3107,
Xeon w9-3495X,Intel,350,56,6.3,2023,10,19.08,0.3407142857,163.2142857,3.64E-04,https://www.techpowerup.com/cpu-specs/xeon-w9-3495x.c3106,
Xeon E5-2620 v2,Intel,95,6,15.8,2012,32,4.35,0.725,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/xeon-e5-2620.c969,
Xeon E5-2620 v4,Intel,85,8,10.6,2016,14,2.4624,0.3078,1142.5,2.55E-03,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats https://ark.intel.com/content/www/fr/fr/ark/products/92986/intel-xeon-processor-e52620-v4-20m-cache-2-10-ghz.html,die size for LCC configuration
Xeon E5-2698 v4,Intel,135,20,6.8,2016,14,4.56,0.228,457,1.02E-03,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)),XCC configuration
Xeon Gold 6152,Intel,140,22,6.4,2017,14,6.94,0.3154545455,415.4545455,9.27E-04,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server),XCC configuration
